Field name,Reservoir unit,Country,Region,Tectonic regime,Hydrocarbon type,Period,Depositional system,Lithology,Trapping mechanism,Structural setting,Gross,Netpay,Porosity,Permeability,Depth
CHELEKEN,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,COMPRESSION,OIL,NEOGENE,LACUSTRINE,SANDSTONE,FOLD,THRUST,2286.6,57.9,19.0,30.0,548.8
CHENGDAO,GUANTAO,CHINA,FAR EAST,EXTENSION,OIL,NEOGENE,FLUVIAL,SANDSTONE,FOLD,RIFT,288.1,72.0,33.8,2529.0,1201.2
CHINGUETTI,CHINGUETTI,MAURITANIA,AFRICA,EVAPORITE,OIL,NEOGENE,DEEP MARINE,SANDSTONE,FOLD,PASSIVE MARGIN,250.0,38.1,27.0,2000.0,1189.0
CINTA,TALANG AKAR (ZONE 3),INDONESIA,FAR EAST,INVERSION,OIL,PALEOGENE,FLUVIAL,SANDSTONE,FOLD,INVERSION,61.0,19.8,18.0,505.0,878.0
CLIPPER,LEMAN SANDSTONE,UK,EUROPE,INVERSION,GAS,PERMIAN,DESERT,SANDSTONE,FAULT,SUB-SALT,218.0,176.8,11.0,0.5,2262.2
CLYDE,FULMAR,UK,EUROPE,GRAVITY,OIL,JURASSIC,COASTAL,THINLY-BEDDED SANDSTONE,FOLD,SALT,198.2,118.9,20.0,350.0,3593.6
COALINGA,TEMBLOR,USA,NORTH AMERICA,COMPRESSION,OIL,NEOGENE,FLUVIAL,SHALY SANDSTONE,EROSIONAL,WRENCH,213.4,57.9,34.0,850.0,152.4
CORMORANT,BRENT,UK,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,91.5,68.6,20.0,500.0,2347.6
COTTONWOOD CREEK,PHOSPHORIA (ERVAY),USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,DEPOSITIONAL,FORELAND,19.8,6.4,8.0,0.5,1432.9
COUNTESS,UPPER MANNVILLE (YY POOL),CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,EROSIONAL,FORELAND,19.1,5.5,26.0,2500.0,1020.4
CRYSTAL (CANADA),VIKING (A POOL),CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,EROSIONAL,FORELAND,9.8,9.1,10.5,200.0,1780.5
CRYSTAL (USA),DUNDEE,USA,NORTH AMERICA,STRIKE-SLIP,OIL,DEVONIAN,HIGH-ENERGY CARBONATE SAND,DOLOMITE,FOLD,INTRACRATONIC,30.5,7.9,10.0,3.0,969.5
CUSIANA,MIRADOR,COLOMBIA,LATIN AMERICA,COMPRESSION,OIL,PALEOGENE,COASTAL,SANDSTONE,FOLD,THRUST,122.0,61.0,9.0,100.0,3963.4
CUT BANK,CUT BANK SANDSTONE,USA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,FLUVIAL,SANDSTONE,DEPOSITIONAL,FORELAND,14.3,4.9,13.0,110.0,640.2
CYMRIC,TULARE,USA,NORTH AMERICA,COMPRESSION,OIL,NEOGENE,LACUSTRINE,SANDSTONE,FOLD,WRENCH,182.9,61.0,35.0,3000.0,304.9
DAN,CHALK GROUP (TOR-EKOFISK),DENMARK,EUROPE,INVERSION,OIL,CRETACEOUS-PALEOGENE,FORESLOPE,CHALK,FOLD,SALT,152.4,48.8,28.0,1.8,1695.1
DAQING (LAMADIAN),SAERTU-PUTAOHUA-GAOTAIZI,CHINA,FAR EAST,INVERSION,OIL,CRETACEOUS,FLUVIAL,THINLY-BEDDED SANDSTONE,FOLD,INVERSION,182.9,30.5,26.0,1500.0,833.5
DAULETABAD-DONMEZ,SHATLYK,TURKMENISTAN,FORMER SOVIET UNION,COMPRESSION,GAS,CRETACEOUS,FLUVIAL,SANDSTONE,FLUIDIC,INTRACRATONIC,20.1,14.0,19.0,350.0,2850.6
DEFA,WAHA-DEFA,LIBYA,AFRICA,EXTENSION,OIL,CRETACEOUS-PALEOGENE,ORGANIC BUILDUP,LIMESTONE,FOLD,RIFT,262.2,64.0,20.0,20.0,1583.2
DELTA SOUTH,AGBADA (G2 SAND),NIGERIA,AFRICA,GRAVITY,OIL,NEOGENE,COASTAL,SANDSTONE,FAULT,DELTA,20.1,15.2,28.0,2000.0,2434.5
DELTA SOUTH,AGBADA (G3 SAND),NIGERIA,AFRICA,GRAVITY,OIL,NEOGENE,COASTAL,SANDSTONE,FAULT,DELTA,39.6,27.4,26.5,2000.0,2504.6
DINEH-BI-KEYAH,UNNAMED,USA,NORTH AMERICA,UPLIFT,OIL,PALEOGENE,VOLCANICS,VOLCANICS,INTRUSIVE IGNEOUS BODY,INTRACRATONIC,29.0,24.4,10.0,0.5,853.7
DJARKUDUK,KYZYLTASH,AFGHANISTAN,FAR EAST,COMPRESSION,GAS,CRETACEOUS,COASTAL,SANDSTONE,FOLD,INTRACRATONIC,137.2,27.1,23.0,214.0,2000.0
DJEITUN,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,COMPRESSION,OIL,NEOGENE,LACUSTRINE,SANDSTONE,FOLD,THRUST,3201.2,24.4,17.0,22.0,2301.8
DONGFANG 1-1,YINGGEHAI,CHINA,FAR EAST,TRANSTENSION,GAS,NEOGENE,COASTAL,SANDSTONE,FOLD,WRENCH,201.2,93.9,25.0,88.3,1133.2
DRAKE POINT,DRAKE POINT-INTREPID INLET,CANADA,NORTH AMERICA,COMPRESSION,GAS,JURASSIC,COASTAL,SANDSTONE,FOLD,FORELAND,30.5,21.6,20.0,566.0,1033.5
DRAUGEN,ROGN (VIKING),NORWAY,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,FAULT,PASSIVE MARGIN,30.5,20.1,20.0,6000.0,1346.3
DUKHAN,ARAB C,QATAR,MIDDLE EAST,COMPRESSION,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,25.6,4.6,18.0,30.0,1614.9
DUKHAN,ARAB D,QATAR,MIDDLE EAST,COMPRESSION,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,70.4,36.6,20.0,70.0,1658.2
DUKHAN,UWAINAT,QATAR,MIDDLE EAST,COMPRESSION,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,36.6,22.9,18.0,15.0,2049.1
DUNE,GRAYBURG,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,HIGH-ENERGY CARBONATE SAND,DOLOMITE,FOLD,FORELAND,91.5,24.4,13.0,11.0,1006.1
DURI,BEKASAP (KEDUA-PERTAMA SANDS),INDONESIA,FAR EAST,INVERSION,OIL,NEOGENE,COASTAL,SANDSTONE,FOLD,INVERSION,85.4,45.7,34.0,1500.0,122.0
DURI,DURI (RINDU SAND),INDONESIA,FAR EAST,INVERSION,OIL,NEOGENE,COASTAL,SANDSTONE,FOLD,INVERSION,36.6,15.9,32.0,1900.0,67.1
DZHIGALYBEG,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,COMPRESSION,OIL,NEOGENE,LACUSTRINE,SANDSTONE,FOLD,THRUST,2500.0,79.3,18.0,100.0,3079.3
EAST CLINTON,RED FORK,USA,NORTH AMERICA,COMPRESSION,GAS-CONDENSATE,CARBONIFEROUS,FLUVIAL,SANDSTONE,EROSIONAL,FORELAND,61.0,36.6,10.0,1.0,3490.9
EAST CROSSFIELD,WABAMUN (A POOL),CANADA,NORTH AMERICA,COMPRESSION,GAS,DEVONIAN,ORGANIC BUILDUP,DOLOMITE,DEPOSITIONAL,FORELAND,30.5,20.6,6.1,5.2,2347.6
EAST TEXAS,WOODBINE,USA,NORTH AMERICA,GRAVITY,OIL,CRETACEOUS,COASTAL,SANDSTONE,EROSIONAL,PASSIVE MARGIN,15.5,11.3,25.0,2098.0,1067.1
EKOFISK,TOR-EKOFISK,NORWAY,EUROPE,INVERSION,OIL,CRETACEOUS-PALEOGENE,FORESLOPE,CHALK,FOLD,SALT,250.0,179.9,32.0,1.5,2820.1
EKOFISK WEST,TOR-EKOFISK,NORWAY,EUROPE,INVERSION,GAS-CONDENSATE,CRETACEOUS-PALEOGENE,FORESLOPE,CHALK,FOLD,SALT,198.2,109.8,30.0,1.5,3009.1
EL BORMA,KIRCHAOU,TUNISIA /ALGERIA,AFRICA,COMPRESSION,OIL,TRIASSIC,FLUVIAL,SANDSTONE,FOLD,SUB-SALT,107.6,57.9,17.0,500.0,2750.6
EL DORADO,ADMIRE 650 SAND,USA,NORTH AMERICA,INVERSION,OIL,PERMIAN,COASTAL,SANDSTONE,FOLD,FORELAND,12.2,5.5,28.0,240.0,152.4
EL FURRIAL,MERECURE (NARICUAL-LOS JABILLOS),VENEZUELA,LATIN AMERICA,COMPRESSION,OIL,PALEOGENE,COASTAL,SANDSTONE,FOLD,THRUST,487.8,259.1,15.0,480.0,3887.2
ELGIN,FULMAR,UK,EUROPE,INVERSION,GAS-CONDENSATE,JURASSIC,COASTAL,SANDSTONE,FOLD,SALT,298.8,230.2,17.0,25.0,5259.1
ELK BASIN,MADISON,USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,DOLOMITE,FOLD,THRUST,237.8,62.5,12.0,7.0,1326.2
ELK BASIN,TENSLEEP,USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,DESERT,SANDSTONE,FOLD,THRUST,76.2,33.5,17.0,150.0,1219.5
ELK-POCA,ORISKANY,USA,NORTH AMERICA,COMPRESSION,GAS,DEVONIAN,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,10.7,3.4,8.0,27.5,1478.7
ELKHORN RANCH,MISSION CANYON (MADISON),USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,DOLOMITE,FLUIDIC,INTRACRATONIC,32.0,12.2,16.0,25.0,2782.0
ELLIS RANCH,CLEVELAND,USA,NORTH AMERICA,COMPRESSION,GAS,CARBONIFEROUS,COASTAL,SHALY SANDSTONE,DEPOSITIONAL,FORELAND,45.7,7.9,14.0,0.4,1981.7
EMMA,SAN ANDRES,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,HIGH-ENERGY CARBONATE SAND,DOLOMITE,FOLD,FORELAND,106.7,12.2,8.0,3.0,1275.9
EMPIRE ABO,ABO,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,ORGANIC BUILDUP,DOLOMITE,DEPOSITIONAL,FORELAND,91.5,46.0,10.0,50.0,1707.3
ENDICOTT,KEKIKTUK,USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,FLUVIAL,SANDSTONE,FAULT,PASSIVE MARGIN,243.9,102.7,22.0,1000.0,2891.5
ERB WEST,STAGE IVD (N SAND),MALAYSIA,FAR EAST,STRIKE-SLIP,OIL,NEOGENE,COASTAL,SANDSTONE,FOLD,WRENCH,167.7,42.7,20.0,140.0,1843.9
ERSKINE,HEATHER,UK,EUROPE,INVERSION,GAS-CONDENSATE,JURASSIC,DEEP MARINE,SANDSTONE,EROSIONAL,RIFT,18.3,15.2,20.0,18.0,4542.7
ERSKINE,PENTLAND,UK,EUROPE,INVERSION,GAS-CONDENSATE,JURASSIC,FLUVIAL,SANDSTONE,FAULT,RIFT,152.4,45.7,16.0,10.0,4481.7
ERSKINE,PUFFIN (ERSKINE SANDSTONE),UK,EUROPE,INVERSION,GAS-CONDENSATE,JURASSIC,COASTAL,SHALY SANDSTONE,FAULT,RIFT,67.1,64.0,23.0,10.0,4481.7
ETAME,GAMBA,GABON,AFRICA,EXTENSION,OIL,CRETACEOUS,FLUVIAL,SANDSTONE,FOLD,SUB-SALT,14.3,11.0,30.0,1550.0,1704.3
EUGENE ISLAND 330,LENTICULINA 1-TRIMOSINA A,USA,NORTH AMERICA,GRAVITY,OIL,NEOGENE,COASTAL,LOW-RESISTIVITY SANDSTONE,FOLD,DELTA,1981.7,61.0,30.0,700.0,1176.8
EVEREST,FORTIES,UK,EUROPE,EXTENSION,GAS-CONDENSATE,PALEOGENE,DEEP MARINE,SANDSTONE,DEPOSITIONAL,RIFT,25.9,15.2,22.0,27.0,2441.5
FAIRWAY,JAMES LIMESTONE,USA,NORTH AMERICA,GRAVITY,OIL,CRETACEOUS,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,SALT,45.7,21.3,11.0,25.0,3048.8
FLOUNDER,LATROBE (T1.1 UNIT),AUSTRALIA,FAR EAST,INVERSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,INVERSION,42.1,38.1,20.0,1200.0,2340.5
FORD-GERALDINE,BELL CANYON,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,DEEP MARINE,SANDSTONE,EROSIONAL,FORELAND,14.3,7.6,21.0,18.0,807.9
FRANKLIN,FULMAR,UK,EUROPE,INVERSION,GAS-CONDENSATE,JURASSIC,COASTAL,SANDSTONE,FAULT,SALT,298.8,149.4,16.0,10.0,4987.8
FRIENDSWOOD,FRIO,USA,NORTH AMERICA,GRAVITY,OIL,PALEOGENE,COASTAL,SANDSTONE,FOLD,DELTA,207.3,118.9,30.7,2350.0,1681.4
FULLERTON,WICHITA-CLEARFORK,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,FOLD,FORELAND,609.8,45.7,10.0,3.0,2042.7
FUYU,FUYU (QUANTOU),CHINA,FAR EAST,INVERSION,OIL,CRETACEOUS,LACUSTRINE,SANDSTONE,FOLD,INVERSION,79.3,10.1,24.0,182.0,314.0
GAMYSHLDZHA,RED SERIES (HK-1 TO HK-5),TURKMENISTAN,FORMER SOVIET UNION,COMPRESSION,OIL,NEOGENE,FLUVIAL,SANDSTONE,FOLD,FORELAND,548.8,48.8,20.0,125.0,2770.7
GAROUPA,MACAE (QUISSAMA),BRAZIL,LATIN AMERICA,GRAVITY,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,130.2,48.8,19.0,175.0,3038.7
GARRINGTON,CARDIUM (A SAND),CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,91.5,0.6,12.0,7.0,1646.3
GARRINGTON,CARDIUM (B SAND),CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,91.5,0.9,13.3,43.2,1676.8
GASIKULE,LOWER GANCHAIGOU,CHINA,FAR EAST,COMPRESSION,OIL,PALEOGENE,LACUSTRINE,SANDSTONE,FOLD,THRUST,245.1,28.4,14.0,48.0,3179.0
GASIKULE,UPPER GANCHAIGOU-LOWER YOUSHAS,CHINA,FAR EAST,COMPRESSION,OIL,NEOGENE,LACUSTRINE,SANDSTONE,FOLD,THRUST,1000.3,24.7,19.0,102.0,1280.2
GENESIS,N1-N3,USA,NORTH AMERICA,GRAVITY,OIL,NEOGENE,DEEP MARINE,SANDSTONE,FAULT,DELTA,122.0,76.2,32.0,800.0,2628.0
GIDGEALPA,HUTTON,AUSTRALIA,FAR EAST,INVERSION,OIL,JURASSIC,FLUVIAL,SANDSTONE,FOLD,INTRACRATONIC,182.9,15.2,18.0,1000.0,1643.9
GIRASSOL,MALEMBO (B SAND SYSTEM),ANGOLA,AFRICA,GRAVITY,OIL,PALEOGENE,DEEP MARINE,SANDSTONE,EROSIONAL,SALT,240.9,91.5,27.0,4200.0,1057.9
GLENBURN,MISSION CANYON (FROBISHER-ALIDA),USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,DEPOSITIONAL,INTRACRATONIC,30.5,3.0,17.0,24.0,1475.6
GOLDEN SPIKE,LEDUC,CANADA,NORTH AMERICA,COMPRESSION,OIL,DEVONIAN,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,FORELAND,197.0,146.3,10.0,50.0,1631.1
GORGON,MUNGAROO,AUSTRALIA,FAR EAST,INVERSION,GAS,TRIASSIC,FLUVIAL,SANDSTONE,FAULT,RIFT,701.2,79.3,16.0,700.0,3140.2
GOTURDEPE,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,COMPRESSION,OIL,NEOGENE,LACUSTRINE,SANDSTONE,FOLD,THRUST,2286.6,243.9,23.0,100.0,1585.4
GREATER BURGAN,WARA-BURGAN,KUWAIT,MIDDLE EAST,COMPRESSION,OIL,CRETACEOUS,COASTAL,LOW-RESISTIVITY SANDSTONE,FOLD,FORELAND,411.6,274.4,24.0,1000.0,1082.3
GRIFFIN,BIRDRONG,AUSTRALIA,FAR EAST,INVERSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FAULT,RIFT,35.1,12.2,15.0,30.0,2469.5
GRIFFIN,ZEEPAARD,AUSTRALIA,FAR EAST,INVERSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FAULT,RIFT,130.2,89.9,17.0,1300.0,2500.0
GUANGLI,SHAHEJIE (SHA-4),CHINA,FAR EAST,EXTENSION,OIL,PALEOGENE,LACUSTRINE,SILTSTONE,FOLD,RIFT,91.5,12.5,24.0,681.0,2462.5
GUDAO,GUANTAO,CHINA,FAR EAST,EXTENSION,OIL,NEOGENE,FLUVIAL,SANDSTONE,FOLD,RIFT,240.9,26.8,33.0,1500.0,1123.8
GULLFAKS,BRENT,NORWAY,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,298.8,160.1,30.0,1000.0,1536.6
GULLFAKS,STATFJORD,NORWAY,EUROPE,EXTENSION,OIL,TRIASSIC-JURASSIC,FLUVIAL,SANDSTONE,EROSIONAL,RIFT,192.1,120.1,26.0,1000.0,1682.9
HAFT KEL,ASMARI,IRAN,MIDDLE EAST,COMPRESSION,OIL,PALEOGENE-NEOGENE,LOW-ENERGY CARBONATE MUD,DOLOMITIC LIMESTONE,FOLD,FORELAND,269.5,205.8,8.0,1.0,854.0
HALIBUT-COBIA,LATROBE (M1 UNIT),AUSTRALIA,FAR EAST,INVERSION,OIL,PALEOGENE,FLUVIAL,SANDSTONE,EROSIONAL,INVERSION,154.0,36.6,20.0,1600.0,2187.5
HANDIL,BALIKPAPAN,INDONESIA,FAR EAST,INVERSION,OIL,NEOGENE,COASTAL,SANDSTONE,FOLD,INVERSION,3811.0,396.3,18.0,200.0,207.3
HARMATTAN EAST,TURNER VALLEY (RUNDLE POOL),CANADA,NORTH AMERICA,COMPRESSION,GAS-CONDENSATE,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,DOLOMITE,EROSIONAL,FORELAND,36.6,11.6,11.0,20.0,2515.2
HARMATTAN-ELKTON,TURNER VALLEY (RUNDLE C POOL),CANADA,NORTH AMERICA,COMPRESSION,GAS-CONDENSATE,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,DOLOMITE,EROSIONAL,FORELAND,42.7,21.3,12.0,125.0,2667.7
HARTZOG DRAW,SHANNON,USA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,LOW-RESISTIVITY SANDSTONE,DEPOSITIONAL,FORELAND,21.3,6.1,12.0,12.0,2743.9
HATTERS POND,NORPHLET,USA,NORTH AMERICA,GRAVITY,GAS-CONDENSATE,JURASSIC,DESERT,SANDSTONE,FOLD,SALT,106.7,61.0,10.4,0.5,5503.0
HAWK POINT,UPPER MINNELUSA (B SAND),USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,DESERT,SANDSTONE,DEPOSITIONAL,FORELAND,42.7,9.1,13.0,30.0,3442.1
HAWKINS,WOODBINE,USA,NORTH AMERICA,GRAVITY,OIL,CRETACEOUS,FLUVIAL,SANDSTONE,FOLD,SALT,160.1,91.5,27.0,3400.0,1149.4
HEATHER,BRENT,UK,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,64.0,34.5,10.0,20.0,2738.1
HEERA,BASSEIN (ZONE B),INDIA,FAR EAST,EXTENSION,OIL,PALEOGENE,LOW-ENERGY CARBONATE MUD,LIMESTONE,FAULT,PASSIVE MARGIN,70.1,25.0,12.0,0.8,1384.8
HEIDRUN,FANGST,NORWAY,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,70.1,63.1,28.0,1450.0,1735.4
HENRY,DAKOTA SANDSTONE,USA,NORTH AMERICA,COMPRESSION,GAS-CONDENSATE,CRETACEOUS,FLUVIAL,SANDSTONE,DIAGENETIC,FORELAND,106.7,5.8,14.0,43.4,4166.2
HIBERNIA,AVALON,CANADA,NORTH AMERICA,EXTENSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,RIFT,359.8,35.1,20.0,220.0,2020.4
HIBERNIA,HIBERNIA,CANADA,NORTH AMERICA,EXTENSION,OIL,CRETACEOUS,FLUVIAL,SANDSTONE,FOLD,RIFT,198.2,39.0,16.0,700.0,3320.1
HIDES,IMBURU-TORO,PAPUA NEW GUINEA,FAR EAST,COMPRESSION,GAS-CONDENSATE,JURASSIC-CRETACEOUS,COASTAL,SANDSTONE,FOLD,THRUST,149.4,73.2,10.0,100.0,3019.8
HOADLEY,GLAUCONITE,CANADA,NORTH AMERICA,COMPRESSION,GAS-CONDENSATE,CRETACEOUS,COASTAL,SANDSTONE,FLUIDIC,FORELAND,24.4,10.7,11.0,5.0,1493.9
HOUSE CREEK,SUSSEX,USA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,12.2,4.6,13.0,20.0,2397.3
HUANXILING,SHAHEJIE,CHINA,FAR EAST,EXTENSION,OIL,PALEOGENE,LACUSTRINE,SANDSTONE,FOLD,RIFT,160.1,38.7,25.0,1400.0,704.3
HUGOTON-PANHANDLE,CHASE (HUGOTON),USA,NORTH AMERICA,COMPRESSION,GAS,PERMIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,DEPOSITIONAL,FORELAND,73.2,13.7,14.0,5.0,518.3
HUNTINGTON BEACH,BOLSA ZONE,USA,NORTH AMERICA,STRIKE-SLIP,OIL,NEOGENE,DEEP MARINE,THINLY-BEDDED SANDSTONE,FOLD,WRENCH,201.2,46.3,34.0,2300.0,526.2
